medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
sinusitis,sinusitis,Infection or swelling in the air cavities of your nose is known as sinusitis.,2,1.85,2,Leiomyosarcoma | Discharge Summary - 1,"The patient also had a history of sinusitis and so a sinus CT scan was obtained, which was normal.,4.",,,
sleep study,sleep study,Tests to see how well you sleep and if you have any sleep issues.,2,1.85,2,Pneumonia & COPD - Discharge Summary | Discharge Summary - Respiratory Failure,"The patient may require a sleep study after discharge, but by the third day prior to discharge he was no longer utilizing BiPAP, was simply using supplemental O2 at night and was able to maintain appropriate and satisfactory O2 saturations on one-liter per minute supplemental O2 per nasal cannula.",,,
social worker,social worker,Someone who helps people and their families with their emotional or physical needs by providing support and connecting them with necessary services.,2,1.85,2,Mullerian Adenosarcoma | BRCA-2 mutation,"Family history, social history, and psychosocial needs per the social worker.",,,
spasm,spasm,A spasm is when a muscle tightens up and it really hurts and makes it hard to move that muscle.,2,1.85,2,Hip Surgery - Discharge Summar | Anterior Cervical Discectomy & Fusion - Discharge Summary,Right leg muscle spasm/calf pain is stable at this time and we will reevaluate on a regular basis.,,,
specimen,specimen,Samples taken from the body for testing purposes.,2,1.85,2,Discharge Summary - Urology | Discharge Summary - 17,"Pathology on this specimen showed multiple portions of prostatic tissue which was primarily fibromuscular, and he was diagnosed with nonprostatic hyperplasia.",,,
spirometry,spirometry,A test that checks how well your lungs are functioning.,2,1.85,2,Discharge Summary - 17 | Anterior Cervical Discectomy & Fusion - Discharge Summary,"She was placed on incentive spirometry and over the succeeding days, she did have improved pulmonary function.,LABORATORY TESTS: , Initially revealed a white count of 13,000, however, approximately 24 hours following admission her white count stabilized and in fact remained normal throughout her stay.",,,
stage,stage,"Stage refers to how much cancer has spread in the body, determined by tests conducted prior to surgery.",2,1.85,2,Death Summary | Cardio/Pulmo Discharge Summary,"Echocardiogram showed normal ejection fraction, normal left and right side, but stage 3 restrictive physiology.",,,
staple,staple,"A staple is a metal clip used to hold things together, like papers or skin.",2,1.85,2,Discharge Summary - 13 | Cholecystitis - Discharge Summary,"The patient will finish cefazolin 1 g IV every 6 hours, total 5 dosages after pacemaker placement.,DISCHARGE INSTRUCTIONS: , Follow up in the office in 10 days for staple removal.",,,
steroid therapy,steroid therapy,Steroid therapy involves using steroid drugs to reduce the body's inflammation and swelling.,2,1.85,2,Discharge Summary - 3 | Cardio/Pulmo Discharge Summary,"Her bronchospasm also responded to the aggressive bronchodilation and steroid therapy.,DISCHARGE MEDICATIONS:, Prednisolone 60 mg orally once daily, albuterol 2.5 mg nebulized every 4 hours, Atrovent Respules to be nebulized every 6 hours, Pulmicort 500 micrograms nebulized twice every 8 hours, Coumadin 5 mg orally once daily, magnesium oxide 200 mg orally once daily.,TRANSFER INSTRUCTIONS:, The patient is to be strictly kept on bi-level PAP of 15 I-PAP/E-PAP of 5 cm and FIO2 of 35% for most of the times during the day.",,,
stools,stools,Stools are the stuff that comes out when you go to the bathroom.,2,1.85,2,Multiple Medical Problems - Discharge Summary | Gastrointestinal Bleed - Discharge Summary,"Regarding the anemia, the gastroenterologists were consulted regarding her positive Hemoccult stools.",,,
subcutaneously,subcutaneously,Beneath your skin.,2,1.85,2,Hip Surgery - Discharge Summar | Discharge Summary - 4,DVT prophylaxis will be maintained with Arixtra 2.5 mg subcutaneously daily until the INR is greater than 1.7 and Coumadin will be adjusted according to the INR.,,,
suctioned,suctioned,"When a machine pulls in gas, fluid, or mucus.",2,1.85,2,Neonatal Discharge Summary | COPD & Bronchitis - Discharge Summary,Baby was suctioned on perineum with good support.,,,
sulfa,SULFA,A medication that fights bacteria.,2,1.85,2,Discharge Summary - Migraine | Back Pain - Discharge Summary,"b.i.d.,ALLERGIES:, SULFA drugs.,HISTORY OF PRESENT ILLNESS: , The patient is a 25-year-old right-handed Caucasian female who presented to the emergency department with sudden onset of headache occurring at approximately 11 a.m.",,,
suspension,suspension,"A suspension is a liquid with small particles suspended in it, like in medicine.",2,1.85,2,Discharge Summary - 2 | Discharge Summary - 13,Statin oral suspension p.o.,,,
thrush,thrush,When yeast overgrows in moist areas of the body causing a type of infection.,2,1.85,2,Knee Surgery - Discharge Summary | Back Pain - Discharge Summary,"Tongue is in midline with no evidence of thrush.,NECK: No thyroid enlargement.",,,
topical,topical,A topical is a medication that you put directly on your skin.,2,1.85,2,Discharge Summary - Cerebral Palsy | Cholestasis Of Pregnancy,"Chest x-ray was unremarkable.,HOSPITAL COURSE: , The patient was admitted to the General Medical floor and treated with intravenous ceftriaxone and topical Lotrimin.",,,
toxin,toxin,A toxin is something that can harm or kill cells in living things.,2,1.85,2,Pneumonia - Discharge Summary | Discharge Summary - 4,"difficile toxin was ordered, although that is pending at the time of discharge.",,,
transthoracic echocardiogram,transthoracic echocardiogram,A heart picture taken using ultrasound from outside the body.,2,1.85,2,Discharge Summary - 7 | Discharge Summary - 8,"A workup there including chest x-ray, blood cultures, and a transthoracic echocardiogram had all remained nondiagnostic, and were normal.",,,
tremor,tremor,Shakes in the body caused by muscle contractions.,2,1.85,2,Discharge Summary - Migraine | Discharge Summary - 18,No tremor or dysmetria.,,,
trial,trial,A test to see if a medicine or treatment is effective.,2,1.85,2,Intrauterine Pregnancy - Discharge Summary | Discharge Summary - Nephrology,She opted for a scheduled elective C-section and sterilization without any trial of labor.,,,
tube feeds,tube feeds,"Tube feeds are basically food that is given through a tube inserted into the body, such as the stomach or intestine.",2,1.85,2,Multiple Medical Problems - Discharge Summary | Hypothermia - Discharge Summary,"The patient tolerated the procedure well and tube feeds were slowly restarted following the procedure, and prior to discharge were back at her predischarge rates of 120 per hour.",,,
vagina,vagina,The vagina is a muscle-lined passage that connects the uterus to the outside of the body.,2,1.85,2,Mullerian Adenosarcoma | Intrauterine Pregnancy - Discharge Summary,"There is no heart murmur.,ABDOMEN: Nontender.,PELVIC: There is a large mass in the vagina.",,,
vein,vein,A vein is a tube in your body that brings blood back to your heart.,2,1.85,2,ER Report - Chest Pain & Fever | Chest Pain & Respiratory Insufficiency,No neck vein distention is noted.,,,
venous,venous,This term refers to the blood vessels that carry blood back to the heart after it has been used up by the body's cells.,2,1.85,2,Knee Surgery - Discharge Summary | Cardio/Pulmo Discharge Summary,"Early in the hospital course, the patient had reported right calf tenderness and a venous Doppler study obtained on 08/27/2007 showed no DVT bilaterally.",,,
white blood cells,white blood cells,Cells in the immune system that fight off germs and other harmful substances.,2,1.85,2,Gastroenteritis - Discharge Summary | Discharge Summary - 1,"Upon discharge, his hemoglobin and hematocrit stayed at 10.9 and 31.3 and he was still having stool guaiac positive blood, and a stool study was done which showed few white blood cells, negative for Clostridium difficile and moderate amount of occult blood and moderate amount of RBCs.",,,
below-knee amputation,below-knee amputation,Removing part of the foot and lower leg through surgery.,1,0.93,9,Discharge Summary - Peripheral vascular disease,"ADMITTING DIAGNOSIS:, A nonhealing right below-knee amputation.,DISCHARGE DIAGNOSIS:, A nonhealing right below-knee amputation.,SECONDARY DIAGNOSES:, Include:,1.",,,
humerus,humerus,The humerus is one of the upper arm bones.,1,0.93,9,Discharge Summary - ATV Accident,"ADMITTING DIAGNOSIS: , Trauma/ATV accident resulting in left open humerus fracture.,DISCHARGE DIAGNOSIS:, Trauma/ATV accident resulting in left open humerus fracture.,SECONDARY DIAGNOSIS:, None.,HISTORY OF PRESENT ILLNESS: , For complete details, please see dictated history and physical by Dr.",,,
communication,communication,"Sharing information in various ways like speaking, writing, using signs, symbols, and actions.",1,0.93,8,Speech Therapy - Discharge Summary - 1,"HISTORY: , The patient is a 67-year-old female, was referred to Medical Center's Outpatient Rehabilitation Department for skilled speech therapy to improve her functional communication skills and swallowing function and safety.",,,
pacemaker,pacemaker,A small device that helps regulate the heartbeat when placed in the chest.,1,0.93,7,Discharge Summary - 13,"The rest of her past medical history remained the same.,PROCEDURES DONE: , Permanent pacemaker placement after temporary internal pacemaker.,HOSPITAL COURSE: , The patient was admitted to the intensive care unit.",,,
ectopic,ectopic,Something that is located in the wrong part of the body.,1,0.93,5,Ectopic Pregnancy - Discharge Summary,"The patient had a positive hCG with a negative sonogram and hCG titer of about 18,000.,HOSPITAL COURSE:, The patient was admitted to the hospital with the diagnosis of a possible incomplete abortion, to rule out ectopic pregnancy or rupture of corpus luteal cyst.",,,
pericardial effusion,pericardial effusion,Fluid buildup around the heart.,1,0.93,5,Discharge Summary - 9,"Small pericardial effusion with no tamponade.,4.",,,
transplant,transplant,A transplant is a surgery where one person's organs or tissues are replaced with those from another person.,1,0.93,5,ESRD - Discharge Summary,"ADMISSION DIAGNOSIS:, End-stage renal disease (ESRD).,DISCHARGE DIAGNOSIS: , End-stage renal disease (ESRD).,PROCEDURE:, Cadaveric renal transplant.,HISTORY OF PRESENT ILLNESS: , This is a 46-year-old gentleman with end-stage renal disease (ESRD) secondary to diabetes and hypertension, who had been on hemodialysis since 1993 and is also status post cadaveric kidney transplant in 1996 with chronic rejection.,PAST MEDICAL HISTORY: ,1.",,,
abscesses,abscesses,It's like a pocket of pus that forms when your body is fighting an infection.,1,0.93,4,Chronic Abscesses - Discharge Summary,"Multiple extensive subcutaneous abscesses, right thigh.,2.",,,
aphasia,aphasia,Difficulty in understanding or producing spoken or written language.,1,0.93,4,Speech Therapy - Discharge Summary - 1,"At the onset of therapy, on 03/26/08, the patient was NPO with a G-tube and the initial speech and language evaluation revealed global aphasia with an aphasia quotient of 3.6/100 based on the Western Aphasia Battery.",,,
band,band,The band is the visible pattern of lines on a chromosome that vary in light and dark shades.,1,0.93,4,Discharge Summary - 11,She was evaluated in the Bariatric Surgical Center for placement of a band.,,,
ectopic pregnancy,ectopic pregnancy,A pregnancy happening outside of the uterus.,1,0.93,4,Ectopic Pregnancy - Discharge Summary,"The patient had a positive hCG with a negative sonogram and hCG titer of about 18,000.,HOSPITAL COURSE:, The patient was admitted to the hospital with the diagnosis of a possible incomplete abortion, to rule out ectopic pregnancy or rupture of corpus luteal cyst.",,,
ewing sarcoma,Ewing sarcoma,A type of cancer that grows in either bones or soft tissue.,1,0.93,4,Discharge Summary - 5,"Ewing sarcoma.,2.",,,
hypoglycemic,hypoglycemic,When your blood sugar level is too low.,1,0.93,4,Neonatal Discharge Summary - 1,"Feeding amounts at the time of discharge was between 35 to 50 mL per feed and weight was 1797 grams.,RESPIRATIONS: , At the time of admission, baby was not having any apnea spells, no bradycardia or desaturations, was saturating well on room air and continued to do well on room air until the time of discharge.,HYPOGLYCEMIA: , Baby began to experience hypoglycemic episodes on 07/24/2006.",,,
left upper extremity,left upper extremity,"It's the arm, wrist, and hand on your left side.",1,0.93,4,Discharge Summary - ATV Accident,The left upper extremity x-ray did demonstrate an open left distal humerus fracture.,,,
mood,Mood,How someone feels at a specific moment.,1,0.93,4,Psychiatric Discharge Summary,Mood remained anxious and speech was pressured.,,,
pulmonary embolism,pulmonary embolism,A blood clot in the lungs that can lead to chest pain and difficulty breathing.,1,0.93,4,Leiomyosarcoma,"History of pulmonary embolism.,3.",,,
reflex,reflex,"A reflex is a quick, automatic reaction your body makes in response to something happening.",1,0.93,4,Goldenhar Syndrome - Discharge Summary,Eyes: Red reflex elicited bilaterally.,,,
stenosed,stenosed,"When something gets narrowed, like a blood vessel or valve, it's called stenosed, which can reduce the flow of blood or other fluids through it.",1,0.93,4,Discharge Summary - 6,"The RCA, proximal was 95% stenosed and the distal 80% stenosed.",,,
streptococcus,streptococcus,A type of bacteria that sometimes causes infections and lives in the body.,1,0.93,4,Prematurity - Discharge Summary,"Maternal group B streptococcus positive culture.,DISCHARGE DIAGNOSES,1.",,,
azithromycin,azithromycin,Azithromycin is a medication that fights bacterial infections.,1,0.93,3,Pneumonia - Discharge Summary,"She was first started on Avelox, but had a reaction, switched to Augmentin, which caused loose stools, and then three days prior to admission was given daily 1 g Rocephin and started on azithromycin.",,,
barium,barium,A substance used to enhance visibility of body organs in medical imaging tests.,1,0.93,3,Discharge Summary - 14,ABC apparently could not advance the scope into the cecum and therefore warranted a barium enema.,,,
bladder cancer,bladder cancer,Cancer that starts in the organ that holds urine.,1,0.93,3,Discharge Summary - 6,"ABC is a 60-year-old white male veteran with multiple comorbidities, who has a history of bladder cancer diagnosed approximately two years ago by the VA Hospital.",,,
bone scan,bone scan,A bone scan is a test to see if your bones are damaged.,1,0.93,3,Back Pain - Discharge Summary,He reports that he has history of testicular cancer in the distant past and the most recent bone scan was negative.,,,
bypass,bypass,Surgery to reroute fluids in the body.,1,0.93,3,Discharge Summary - Peripheral vascular disease,"Peripheral vascular disease status post aortobifemoral bypass and bilateral femoropopliteal bypass grafting.,3.",,,
carcinomatosis,carcinomatosis,Carcinomatosis is when cancer has spread extensively throughout the body.,1,0.93,3,Discharge Summary - 4,"DATE OF ADMISSION: , MM/DD/YYYY.,DATE OF DISCHARGE: , MM/DD/YYYY.,ADMITTING DIAGNOSIS:, Peritoneal carcinomatosis from appendiceal primary.,DISCHARGE DIAGNOSIS: , Peritoneal carcinomatosis from appendiceal primary.,SECONDARY DIAGNOSIS: , Diarrhea.,ATTENDING PHYSICIAN: , AB CD, M.D.,SERVICE: , General surgery C, Surgery Oncology.,CONSULTING SERVICES:, Urology.,PROCEDURES DURING THIS HOSPITALIZATION:, On MM/DD/YYYY, ,1.",,,
enzymes,enzymes,Proteins that help with breaking down substances in the body.,1,0.93,3,CHF & Pleural Effusion - Discharge Summary,Cardiac enzymes were negative.,,,
esrd,ESRD,Kidney disease that is very serious and means the kidney is barely functioning.,1,0.93,3,ESRD - Discharge Summary,"ADMISSION DIAGNOSIS:, End-stage renal disease (ESRD).,DISCHARGE DIAGNOSIS: , End-stage renal disease (ESRD).,PROCEDURE:, Cadaveric renal transplant.,HISTORY OF PRESENT ILLNESS: , This is a 46-year-old gentleman with end-stage renal disease (ESRD) secondary to diabetes and hypertension, who had been on hemodialysis since 1993 and is also status post cadaveric kidney transplant in 1996 with chronic rejection.,PAST MEDICAL HISTORY: ,1.",,,
femoral head,femoral head,The ball at the end of your thigh bone that connects to your hip joint.,1,0.93,3,Discharge Summary - Hip Surgery,"ADMITTING DIAGNOSIS:, Posttraumatic AV in right femoral head.,DISCHARGE DIAGNOSIS:, Posttraumatic AV in right femoral head.,SECONDARY DIAGNOSES PRIOR TO HOSPITALIZATION:,1.",,,
fundoplication,fundoplication,Surgery to prevent liquid from flowing back into the food pipe from the stomach.,1,0.93,3,Discharge Summary - 10,"ADMITTING DIAGNOSES:, Hiatal hernia, gastroesophageal reflux disease reflux.,DISCHARGE DIAGNOSES:, Hiatal hernia, gastroesophageal reflux disease reflux.,SECONDARY DIAGNOSIS: , Postoperative ileus.,PROCEDURES DONE: , Hiatal hernia repair and Nissen fundoplication revision.,BRIEF HISTORY: , The patient is an 18-year-old male who has had a history of a Nissen fundoplication performed six years ago for gastric reflux.",,,
goiter,goiter,Goiter is when your thyroid gland in your neck gets bigger than it should.,1,0.93,3,Post Thyroidectomy - Discharge Summary,"ADMISSION DIAGNOSIS: , Symptomatic thyroid goiter.,DISCHARGE DIAGNOSIS: ,Symptomatic thyroid goiter.,PROCEDURE PERFORMED DURING THIS HOSPITALIZATION: , Total thyroidectomy.,INDICATIONS FOR THE SURGERY: ,Briefly, the patient is a 71-year-old female referred with increasingly symptomatic large nodular thyroid goiter.",,,
hallucinations,hallucinations,Seeing or hearing stuff that isn't actually there.,1,0.93,3,Psychiatric Discharge Summary,The patient denied auditory hallucinations.,,,
hyperplasia,hyperplasia,Hyperplasia is when there's a bunch of normal cells growing in a tissue or organ.,1,0.93,3,Discharge Summary - Urology,"Benign prostatic hyperplasia.,3.",,,
hypothermia,Hypothermia,"When your body gets too cold to warm itself up, that's hypothermia.",1,0.93,3,Hypothermia - Discharge Summary,"DIAGNOSIS AT ADMISSION: , Hypothermia.,DIAGNOSES ON DISCHARGE,1.",,,
ileal,ileal,Relating to a specific part of the small intestine called the ileum.,1,0.93,3,Pyelonephritis - Discharge Summary,"History of uterine cancer and ileal conduit urinary diversion.,3.",,,
intrauterine pregnancy,Intrauterine pregnancy,A pregnancy where the fertilized egg implants and grows in the uterus where it belongs.,1,0.93,3,Intrauterine Pregnancy - Discharge Summary,"ADMITTING DIAGNOSIS:, Intrauterine pregnancy at term with previous cesarean.,SECONDARY DIAGNOSIS: , Desired sterilization.,DISCHARGE DIAGNOSES,1.",,,
lobar,lobar,"Having to do with a section or part, like a lobe in the lung.",1,0.93,3,Discharge Summary - 17,"Acute right lobar pneumonia.,2.",,,
maxillary,maxillary,"Maxillary means ""related to the top jaw.""",1,0.93,3,Discharge Summary - 1,"On March 26, 2006, head CT without contrast: 1) Air-fluid level in the right maxillary sinus suggestive of acute sinusitis; 2) A 1.8-cm oval, low density mass in the dependent portion of the left maxillary sinus is consistent with a retention cyst; 3) Mucoparietal cell thickening in the right maxillary sinus and ethmoid sinuses.,4.",,,
menstrual cycle,menstrual cycle,The monthly cycle of periods in women.,1,0.93,3,Hip Surgery - Discharge Summar,"Otherwise, she reports some intermittent right calf discomfort and some postoperative right hip pain.,ALLERGIES:, No known drug allergies.,PAST MEDICAL HISTORY:, Anxiety, depression, osteoarthritis, migraine headaches associated with menstrual cycle, history of sciatic pain in the distant past, history of herniated disc, and status post appendectomy.,MEDICATIONS: ,Medications taken at home are Paxil, MOBIC, and Klonopin.,MEDICATIONS ON TRANSFER: , Celebrex, Coumadin, Colace, Fiorinal, oxycodone, Klonopin, and Paxil.,FAMILY HISTORY:, Noncontributory.,SOCIAL HISTORY: , The patient is married.",,,
mood lability,mood lability,A person's mood is constantly shifting.,1,0.93,3,Psychiatric Discharge Summary,"Overall, insight into her illness remained impaired.,HISTORY AND HOSPITAL COURSE: , The patient is a 22-year-old female with a history of bipolar affective disorder, was initially admitted for evaluation of increasing mood lability, disorganization, and inappropriate behaviors.",,,
nephrostomy,nephrostomy,A procedure where a hole is made from outside the body to help with urine drainage from the kidney.,1,0.93,3,Discharge Summary - Urology & Nephrology,"ADMITTING DIAGNOSES:, Solitary left kidney with obstruction, and hypertension, and chronic renal insufficiency.,DISCHARGE DIAGNOSES: , Solitary left kidney with obstruction and hypertension and chronic renal insufficiency, plus a Pseudomonas urinary tract infection.,PROCEDURES: , Cystoscopy under anesthesia, ureteroscopy, an attempted tube placement, stent removal with retrograde pyelography, percutaneous tube placement, and nephrostomy by Radiology.,PERTINENT LABORATORIES: , Creatinine of 1.4.",,,
nuclear medicine,nuclear medicine,Using a bit of radiation to see inside the body and treat illnesses.,1,0.93,3,Renal Disease - Discharge Summary,Cardiology also ordered a nuclear medicine myocardial perfusion stress test.,,,
oxygen saturations,oxygen saturations,A test to measure how much oxygen is in your blood.,1,0.93,3,Otitis Media - Discharge Summary,"Overnight, he did have his oxygen saturations drop and went into oxygen overnight.",,,
pancytopenic,pancytopenic,"Pancytopenic means having low levels of red blood cells, white blood cells, and platelets in your blood.",1,0.93,3,Discharge Summary - Lymphoma,"We had intended to send her home with oral antibiotics; however, by day of discharge, she was pancytopenic and it was decided that she should be discharged to complete a 14-day course of IV antibiotics with cefepime.",,,
perianal,Perianal,Having to do with the area around your butt.,1,0.93,3,Discharge Summary - Lymphoma,"Perianal rash.,6.",,,
peritoneal,Peritoneal,A type of tissue that surrounds and protects organs in the abdomen and pelvis.,1,0.93,3,Discharge Summary - 4,"DATE OF ADMISSION: , MM/DD/YYYY.,DATE OF DISCHARGE: , MM/DD/YYYY.,ADMITTING DIAGNOSIS:, Peritoneal carcinomatosis from appendiceal primary.,DISCHARGE DIAGNOSIS: , Peritoneal carcinomatosis from appendiceal primary.,SECONDARY DIAGNOSIS: , Diarrhea.,ATTENDING PHYSICIAN: , AB CD, M.D.,SERVICE: , General surgery C, Surgery Oncology.,CONSULTING SERVICES:, Urology.,PROCEDURES DURING THIS HOSPITALIZATION:, On MM/DD/YYYY, ,1.",,,
permanent,Permanent,Something that is meant to last for a long time.,1,0.93,3,Discharge Summary - 13,"The rest of her past medical history remained the same.,PROCEDURES DONE: , Permanent pacemaker placement after temporary internal pacemaker.,HOSPITAL COURSE: , The patient was admitted to the intensive care unit.",,,
pons,pons,A brain region that controls breathing and senses like taste and balance.,1,0.93,3,Discharge Summary - 9,"Questionable subacute infarct versus neoplasm in the pons.,6.",,,
pseudomonas,Pseudomonas,Pseudomonas is a type of bacteria that can lead to infections.,1,0.93,3,Discharge Summary - Urology & Nephrology,"ADMITTING DIAGNOSES:, Solitary left kidney with obstruction, and hypertension, and chronic renal insufficiency.,DISCHARGE DIAGNOSES: , Solitary left kidney with obstruction and hypertension and chronic renal insufficiency, plus a Pseudomonas urinary tract infection.,PROCEDURES: , Cystoscopy under anesthesia, ureteroscopy, an attempted tube placement, stent removal with retrograde pyelography, percutaneous tube placement, and nephrostomy by Radiology.,PERTINENT LABORATORIES: , Creatinine of 1.4.",,,
renal transplant,renal transplant,Surgery where a kidney is removed from one person and placed into another person.,1,0.93,3,ESRD - Discharge Summary,"ADMISSION DIAGNOSIS:, End-stage renal disease (ESRD).,DISCHARGE DIAGNOSIS: , End-stage renal disease (ESRD).,PROCEDURE:, Cadaveric renal transplant.,HISTORY OF PRESENT ILLNESS: , This is a 46-year-old gentleman with end-stage renal disease (ESRD) secondary to diabetes and hypertension, who had been on hemodialysis since 1993 and is also status post cadaveric kidney transplant in 1996 with chronic rejection.,PAST MEDICAL HISTORY: ,1.",,,
serotonin,Serotonin,Serotonin is a chemical in the brain that helps to transmit signals between nerve cells.,1,0.93,3,Discharge Summary - 18,"Serotonin syndrome secondary to high doses of Prozac.,2.",,,
sick sinus syndrome,Sick sinus syndrome,"The heart's natural pacemaker malfunctions, leading to irregular heartbeats in sick sinus syndrome.",1,0.93,3,Discharge Summary - 13,"Abdominal pain.,DISCHARGE DIAGNOSIS:, Sick sinus syndrome.",,,
soft diet,soft diet,A soft diet is made up of easy-to-chew and digest foods that are usually cooked and mashed or blended.,1,0.93,3,Discharge Summary - 10,"After tolerating the full liquid diet without any complications, he was advanced to a soft diet and his pain medications were transitioned to p.o.",,,
splenectomy,splenectomy,Removing the spleen through surgery because it impacts the blood composition.,1,0.93,3,Discharge Summary - 4,"Exploratory laparotomy, right hemicolectomy, cholecystectomy, splenectomy, omentectomy, IPHC with mitomycin-C.,HOSPITAL COURSE: , The patient is a pleasant 56-year-old gentleman with no significant past medical history who after an extensive workup for peritoneal carcinomatosis from appendiceal primary was admitted on MM/DD/YYYY.",,,
syncopal,syncopal,Syncopal means passing out or fainting.,1,0.93,3,Renal Disease - Discharge Summary,"He reports that over the past month, he has been feeling lightheaded when standing and has had three syncopal episodes during this time with return of consciousness after several minutes.",,,
syncope,Syncope,Fainting or passing out.,1,0.93,3,Renal Disease - Discharge Summary,"Syncope.,2.",,,
tamponade,tamponade,Fluid buildup around the heart squeezing it.,1,0.93,3,Discharge Summary - 9,"Small pericardial effusion with no tamponade.,4.",,,
testicular cancer,testicular cancer,Cancer that develops in the testicles.,1,0.93,3,Back Pain - Discharge Summary,He reports that he has history of testicular cancer in the distant past and the most recent bone scan was negative.,,,
tularemia,tularemia,Tularemia is a sickness that can spread to both animals and humans.,1,0.93,3,Discharge Summary - 8,"XYZ asked me to talk to the patient about any contact with animals, given the fact that we have had a recent outbreak of tularemia here in Utah.",,,
white matter,white matter,White matter is like the highways of the brain for nerve signals to move around.,1,0.93,3,Discharge Summary - 1,"Acute cerebrovascular accident/left basal ganglia and deep white matter of the left parietal lobe.,2.",,,
acute pain,Acute pain,"Sudden, intense pain that doesn't last long.",1,0.93,2,Discharge Summary - Hip Surgery,"Hip arthroscopy.,POSTOP COMORBIDITIES: , Postop acute blood loss anemia requiring transfusion and postop pain.,PROCEDURES DURING THIS HOSPITALIZATION:, Right total hip arthroplasty and removal of hardware.,CONSULTS:, Acute pain team consult.,DISPOSITION: , Home.,HISTORY OF PRESENT ILLNESS AND HOSPITAL COURSE:, For details, please refer to clinic notes and OP notes.",,,
adenosarcoma,adenosarcoma,A type of tumor that has both gland and supporting tissue.,1,0.93,2,Mullerian Adenosarcoma,"PRINCIPAL DIAGNOSIS: , Mullerian adenosarcoma.",,,
adrenal,adrenal,Small glands above the kidneys that produce hormones to regulate body functions.,1,0.93,2,Pneumonia - Discharge Summary,"Suspected mild stress-induced adrenal insufficiency.,HOSPITAL COURSE: , This very independent 79-year old had struggled with cough, fevers, weakness, and chills for the week prior to admission.",,,
adriamycin,Adriamycin,a medication for fighting specific cancers.,1,0.93,2,Leiomyosarcoma,"Cycle six of CIVI-CAD (Cytoxan, Adriamycin, and DTIC) from 07/22/2008 to 07/29/2008.,2.",,,
anasarca,Anasarca,Intense swelling throughout the body due to various medical issues.,1,0.93,2,Discharge Summary - Respiratory Failure,"Anasarca improving.,5.",,,
artery,artery,A tube that carries blood from the heart to the entire body.,1,0.93,2,Discharge Summary - 1,"On 3/26/2006, MRI/MRA of the neck and brain, with and without contrast: 1) Changes consistent with an infarct involving the right basal ganglia and deep white matter of the left parietal lobe, as described above; 2) Diffuse smooth narrowing of the left middle cerebral artery that may be a congenital abnormality.",,,
atypical,Atypical,Not typical or usual.,1,0.93,2,Discharge Summary - 18,"Atypical chest pain.,2.",,,
autism,Autism,A brain disorder starting in childhood that makes it challenging for children to communicate and connect with others.,1,0.93,2,Discharge Summary - 15,"Autism.,DIET ON DISCHARGE:, Regular for age.,MEDICATIONS ON DISCHARGE: , Adderall and clonidine for attention deficit hyperactivity disorder.,ACTIVITY ON DISCHARGE: , As tolerated.,DISPOSITION ON DISCHARGE: , Follow up with Dr.",,,
barium enema,barium enema,An x-ray of your large intestines using a dye inserted into your rectum.,1,0.93,2,Discharge Summary - 14,ABC apparently could not advance the scope into the cecum and therefore warranted a barium enema.,,,
benazepril,benazepril,A medication that helps improve blood circulation and reduce high blood pressure.,1,0.93,2,Discharge Summary - 13,Medication was adjusted to benazepril 20 mg a day.,,,
benign prostatic hyperplasia,Benign prostatic hyperplasia,"The prostate gland gets bigger as you get older, which can make it difficult to urinate.",1,0.93,2,Discharge Summary - Urology,"Benign prostatic hyperplasia.,3.",,,
breast cancer,breast cancer,Breast cancer is when abnormal cells in the breast can grow and spread to healthy tissues.,1,0.93,2,BRCA-2 mutation,"Her sister died of breast cancer at age 32 and her daughter had breast cancer at age 27.,PHYSICAL EXAMINATION: ,The chest was clear.",,,
ca,CA,A condition where cells grow and multiply uncontrollably in the body.,1,0.93,2,Death Summary - 1,"Hypercalcemia, likely secondary to paraneoplastic syndrome from the non-small cell lung CA, possible metastases to the bones.,9.",,,
calories,calories,Calories measure how much energy food provides.,1,0.93,2,Prematurity - Discharge Summary,"She was treated for approximately 24 hours with phototherapy and the bilirubin on October 15, 2003 was 3.4.,FEEDING: , The infant has had some difficulty with feeding, but at the time of discharge, she is taking approximately 30 mL every feeding and is taking Formula or breast milk, that is, ___ 24 calories per ounce.,PHYSICAL EXAMINATION:, ,VITAL SIGNS: At discharge, reveals a well-developed infant whose temperature is 98.3, pulse 156, respirations 35, her weight is 1779 g (1% below her birthweight).,HEENT: Head is normocephalic.",,,
catheterization,catheterization,Inserting a small tube into a part of the body to drain fluids or administer medication.,1,0.93,2,Death Summary,There was contemplation as to whether left heart catheterization should proceed since Nephrology was concerned about the patient's renal status.,,,
cavity,cavity,A cavity is a hole or empty space within something.,1,0.93,2,D&C - Discharge Summary,"Myomectomy.,COMPLICATIONS: , Large endometrial cavity fibroid requiring careful dissection and excision.,BLOOD TRANSFUSIONS: , Two units of packed red blood cells.,INFECTION: , None.,SIGNIFICANT LAB AND X-RAY: , Posttransfusion of the 2nd unit showed her hematocrit of 25, hemoglobin of 8.3.,HOSPITAL COURSE AND TREATMENT: , The patient was admitted to the surgical suite and taken to the operating room where a dilatation and curettage (D&C) was performed.",,,
