medical_term,plain_language_explanation,filtering_method
intraoperative ultrasound,Seeing inside the body with sound waves while doing surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
intraoperatively,During surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
intrapartum,Intrapartum is the period of time when labor starts and ends.,README-based filtered glossary with task-specific patient-facing relevance filtering
intrapelvic,Inside the pelvis.,README-based filtered glossary with task-specific patient-facing relevance filtering
intraperitoneal,Within or applied through the thin membrane lining the belly which houses abdominal organs like the stomach and intestines.,README-based filtered glossary with task-specific patient-facing relevance filtering
intraperitoneal chemotherapy,Chemotherapy drugs directly put into the belly using a tube to treat cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
intrapleural,The area between the lung and the chest wall.,README-based filtered glossary with task-specific patient-facing relevance filtering
intraretinal,In the retina.,README-based filtered glossary with task-specific patient-facing relevance filtering
intraspinal,It means within the spine (backbone).,README-based filtered glossary with task-specific patient-facing relevance filtering
intrathecal chemotherapy,Treatment for cancer that is injected directly into the area surrounding the brain and spinal cord.,README-based filtered glossary with task-specific patient-facing relevance filtering
intratumoral,Inside a tumor.,README-based filtered glossary with task-specific patient-facing relevance filtering
intrauterine,"It means ""inside the uterus.""",README-based filtered glossary with task-specific patient-facing relevance filtering
intrauterine pregnancy,A pregnancy where the fertilized egg implants and grows in the uterus where it belongs.,README-based filtered glossary with task-specific patient-facing relevance filtering
intraven,Putting fluids or medicine directly into a vein using a needle.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravenous,Putting fluids and medicine into your body through a needle in a vein.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravenous antibiotic,Medication that kills bacteria administered through a vein.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravenous antibiotics,Medicine that kills bacteria and is given through a vein.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravenous chemotherapy,Administering drugs directly into a vein to treat cancer or other diseases.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravenous fluid,Fluids that go straight into a vein through a needle.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravenous infusion,Fluids and medicine given through a needle directly into a vein.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravenous injection,Putting fluids and medicine straight into a blood vessel using a needle.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravenously,Through or inside a vein.,README-based filtered glossary with task-specific patient-facing relevance filtering
intraventricular,Related to the inside of a section of the heart or brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
intravesical,Inside the bladder.,README-based filtered glossary with task-specific patient-facing relevance filtering
intron,A section of genetic material that gets removed from RNA but remains in the DNA.,README-based filtered glossary with task-specific patient-facing relevance filtering
intubate,Putting a tube into the windpipe to help someone breathe better.,README-based filtered glossary with task-specific patient-facing relevance filtering
intubated,A tube put into the windpipe to aid breathing.,README-based filtered glossary with task-specific patient-facing relevance filtering
intubation,Putting a tube in the windpipe to help someone breathe.,README-based filtered glossary with task-specific patient-facing relevance filtering
intubations,Putting a tube into someone's windpipe to help them breathe.,README-based filtered glossary with task-specific patient-facing relevance filtering
intussuception,When a part of the intestine folds into itself.,README-based filtered glossary with task-specific patient-facing relevance filtering
intussuscepted,When something folds in on itself and causes a pocket to form inside.,README-based filtered glossary with task-specific patient-facing relevance filtering
invasion,Invading tissues means growing into nearby healthy cells or structures.,README-based filtered glossary with task-specific patient-facing relevance filtering
invasive,"Describing something that invades or spreads into a place where it shouldn't be, like invasive plants in a garden.",README-based filtered glossary with task-specific patient-facing relevance filtering
invasive bladder,Invasive bladder: Cancer that has grown into the bladder wall.,README-based filtered glossary with task-specific patient-facing relevance filtering
invasive bladder cancer,Bladder cancer that has spread into the bladder wall.,README-based filtered glossary with task-specific patient-facing relevance filtering
invasive breast cancer,Breast cancer that has spread from the breast to nearby tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
invasive cancer,Cancer that has spread from its original location and is now growing into nearby healthy tissues.,README-based filtered glossary with task-specific patient-facing relevance filtering
invasive lobular carcinoma,A form of breast cancer that originates in the milk-producing glands and extends to nearby healthy tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
invasive procedure,An invasive procedure is a medical process where something is put into your body through your skin or a body cavity.,README-based filtered glossary with task-specific patient-facing relevance filtering
inversion,Inversion is when something is turned inward or upside down.,README-based filtered glossary with task-specific patient-facing relevance filtering
inversions,Inversions are basically when something is turned inward or upside down.,README-based filtered glossary with task-specific patient-facing relevance filtering
inverted,Inverted means flipped in the opposite direction.,README-based filtered glossary with task-specific patient-facing relevance filtering
inverted papilloma,A tumor where cells from the top layer grow into the tissue beneath.,README-based filtered glossary with task-specific patient-facing relevance filtering
inverting,Inverting means flipping something over or turning it inside out.,README-based filtered glossary with task-specific patient-facing relevance filtering
investigator,An investigator is a person who researches things in a study.,README-based filtered glossary with task-specific patient-facing relevance filtering
involuntarily,Your body doing things on its own without you telling it to.,README-based filtered glossary with task-specific patient-facing relevance filtering
involuntary,Doing something that you didn't choose to do.,README-based filtered glossary with task-specific patient-facing relevance filtering
ionized ca,Calcium in the blood that is not bound to proteins.,README-based filtered glossary with task-specific patient-facing relevance filtering
ionized calcium,It's the loose calcium floating around in your blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
ions,Ions are tiny charged particles.,README-based filtered glossary with task-specific patient-facing relevance filtering
ipf,IPF is a condition that makes the lungs scarred.,README-based filtered glossary with task-specific patient-facing relevance filtering
ipratropium,A medication that helps with breathing problems and lessens asthma symptoms.,README-based filtered glossary with task-specific patient-facing relevance filtering
ipratropium bromide,A medicine that helps you breathe better.,README-based filtered glossary with task-specific patient-facing relevance filtering
ipsilateral,On the same side of the body or point.,README-based filtered glossary with task-specific patient-facing relevance filtering
ipsilaterally,On the same side of the body or point.,README-based filtered glossary with task-specific patient-facing relevance filtering
iridectomies,Procedure to remove a portion of the colored part of the eye.,README-based filtered glossary with task-specific patient-facing relevance filtering
irinotecan,Medication used to treat colon or rectal cancer either alone or in combination with other drugs.,README-based filtered glossary with task-specific patient-facing relevance filtering
iris,The colored part of your eye that adjusts the size of your pupil.,README-based filtered glossary with task-specific patient-facing relevance filtering
iritis,Swelling of the colored part of the eye.,README-based filtered glossary with task-specific patient-facing relevance filtering
iron,A mineral that helps prevent anemia and can be taken in pill form.,README-based filtered glossary with task-specific patient-facing relevance filtering
iron deficiency,Not enough iron in the body causing tiredness and low red blood cell count.,README-based filtered glossary with task-specific patient-facing relevance filtering
iron overload,"When the body stores more iron than needed, it's called iron overload.",README-based filtered glossary with task-specific patient-facing relevance filtering
iron saturation,A blood test that measures how much iron is carried in the blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
iron sulfate,A type of iron that helps with low iron levels in the blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
iron-deficiency anemia,"Not enough iron leads to low red blood cells and oxygen levels, called iron-deficiency anemia.",README-based filtered glossary with task-specific patient-facing relevance filtering
irradiation,Using energy like x-rays to treat cancer by killing the cancer cells and reducing tumors.,README-based filtered glossary with task-specific patient-facing relevance filtering
irrigation,Irrigation is when you clean out a body cavity or wound with a stream of water or fluid.,README-based filtered glossary with task-specific patient-facing relevance filtering
irrigations,Cleaning a body cavity or wound with a stream of water or fluid.,README-based filtered glossary with task-specific patient-facing relevance filtering
irritable,Easily upset and annoyed by people and things.,README-based filtered glossary with task-specific patient-facing relevance filtering
irritable bowel syndrome,"Irritable bowel syndrome is a condition that causes issues in the gut like diarrhea, constipation, and pain without a clear reason or cure.",README-based filtered glossary with task-specific patient-facing relevance filtering
irritant,Something that makes you uncomfortable or annoyed.,README-based filtered glossary with task-specific patient-facing relevance filtering
irv,The extra air you can breathe in after a regular breath is called IRV.,README-based filtered glossary with task-specific patient-facing relevance filtering
ischaemia,When blood flow is reduced due to narrowed or blocked blood vessels.,README-based filtered glossary with task-specific patient-facing relevance filtering
ischemia,Not enough blood flow due to blocked or narrowed blood vessels.,README-based filtered glossary with task-specific patient-facing relevance filtering
ischemic,Ischemic means reduced blood flow due to narrowed or blocked blood vessels.,README-based filtered glossary with task-specific patient-facing relevance filtering
ischemic necrosis,When tissue dies because it doesn't get enough blood supply.,README-based filtered glossary with task-specific patient-facing relevance filtering
ischemic stroke,A stroke that happens when a clot blocks blood flow to the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
ischium,The ischium is the part of the pelvic bone you sit on.,README-based filtered glossary with task-specific patient-facing relevance filtering
ishak,"A scale used to measure how severe liver scarring is, ranging from 0 to 6, with higher scores indicating more severe scarring.",README-based filtered glossary with task-specific patient-facing relevance filtering
islet cell,Islet cells are groups of cells in the pancreas that make hormones.,README-based filtered glossary with task-specific patient-facing relevance filtering
islet cell tumor,A tumor that grows in specific cells in the pancreas.,README-based filtered glossary with task-specific patient-facing relevance filtering
islet tumor,A growth that forms in specific cells of the pancreas.,README-based filtered glossary with task-specific patient-facing relevance filtering
isocenter,Where radiation beams converge in space.,README-based filtered glossary with task-specific patient-facing relevance filtering
isocenters,A point in space where radiation beams come together.,README-based filtered glossary with task-specific patient-facing relevance filtering
isodose,Gets the same amount of radiation.,README-based filtered glossary with task-specific patient-facing relevance filtering
isoenzymes,"Enzymes with the same job, but different shapes.",README-based filtered glossary with task-specific patient-facing relevance filtering
isointense,"Having the same strength as something else, like when tests show images with uniform intensity.",README-based filtered glossary with task-specific patient-facing relevance filtering
isolate,To be separated or detached from other things.,README-based filtered glossary with task-specific patient-facing relevance filtering
isolated,To be by yourself and away from others.,README-based filtered glossary with task-specific patient-facing relevance filtering
isolation,Keeping someone separate to stop a sickness from spreading.,README-based filtered glossary with task-specific patient-facing relevance filtering
isoniazid,A medication for treating tuberculosis.,README-based filtered glossary with task-specific patient-facing relevance filtering
isosorbide,A medication that helps to relieve chest pain caused by heart problems.,README-based filtered glossary with task-specific patient-facing relevance filtering
isthmus,A isthmus is a piece of tissue that connects two larger parts of an organ.,README-based filtered glossary with task-specific patient-facing relevance filtering
itp,"When a person has ITP, their body mistakenly attacks and destroys its own platelets, which are responsible for blood clotting and preventing bleeding.",README-based filtered glossary with task-specific patient-facing relevance filtering
iu,IU is a unit used to measure the amount of certain substances like vitamins and drugs.,README-based filtered glossary with task-specific patient-facing relevance filtering
iugr,It's when a baby doesn't grow as much as it should in the womb.,README-based filtered glossary with task-specific patient-facing relevance filtering
iv,Getting fluids and medicine put into your bloodstream through a needle.,README-based filtered glossary with task-specific patient-facing relevance filtering
iv antibiotic,Medication that kills bacteria administered through a vein.,README-based filtered glossary with task-specific patient-facing relevance filtering
iv cytarabine,A cancer drug called IV cytarabine is used for treating certain types of cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
iv fluid,A liquid given through a tube in your vein with minerals and salt.,README-based filtered glossary with task-specific patient-facing relevance filtering
iv fluids,IV fluids are a liquid containing minerals and salts that are delivered into a vein with a tube.,README-based filtered glossary with task-specific patient-facing relevance filtering
iv hydration,Getting fluids pumped directly into your bloodstream through a needle in a vein.,README-based filtered glossary with task-specific patient-facing relevance filtering
iv sulfamethoxazole,A drug mix used for fighting various infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
jamshidi needle,A special needle for taking samples from bone marrow.,README-based filtered glossary with task-specific patient-facing relevance filtering
jaundice,"When you have jaundice, your skin and eyes can turn yellow due to too much bilirubin from broken down blood cells.",README-based filtered glossary with task-specific patient-facing relevance filtering
jaundiced,Skin and eyes turning yellow from too many red blood cells breaking down.,README-based filtered glossary with task-specific patient-facing relevance filtering
jejunal,Jejunal means relating to the middle part of the small intestine.,README-based filtered glossary with task-specific patient-facing relevance filtering
jejunal loop,A jejunal loop is a section of the small intestine.,README-based filtered glossary with task-specific patient-facing relevance filtering
jejunostomy feeding,A tube that helps people who can't eat normally get the nutrition they need.,README-based filtered glossary with task-specific patient-facing relevance filtering
jejunum,The jejunum is the part of the small intestine in the middle.,README-based filtered glossary with task-specific patient-facing relevance filtering
joint,"Where two bones come together in your body, like your knees or elbows.",README-based filtered glossary with task-specific patient-facing relevance filtering
joint effusion,Fluid buildup in joint caused by inflammation and various reasons.,README-based filtered glossary with task-specific patient-facing relevance filtering
joint fluid,A liquid in your joints that helps them move smoothly.,README-based filtered glossary with task-specific patient-facing relevance filtering
joint fusion,A surgery that connects the bones on either side of a joint to prevent movement.,README-based filtered glossary with task-specific patient-facing relevance filtering
joint laxity,"Having joints that move more than they should, leading to potential discomfort.",README-based filtered glossary with task-specific patient-facing relevance filtering
joints,Where bones connect in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
joule,A joule is a way to measure energy.,README-based filtered glossary with task-specific patient-facing relevance filtering
jugular,A vein in your neck that brings blood from your brain to your heart.,README-based filtered glossary with task-specific patient-facing relevance filtering
jugular vein,A blood vessel in your neck that transports blood from your head back to your heart.,README-based filtered glossary with task-specific patient-facing relevance filtering
jugular venous pressure,"The jugular venous pressure measures how well the heart is pumping blood by checking the pressure in a big vein in the neck that takes blood back to the heart after it has been around the head, brain, face, and neck.",README-based filtered glossary with task-specific patient-facing relevance filtering
juvenile arthritis,A type of arthritis that causes inflammation in the joints of children aged 16 or younger.,README-based filtered glossary with task-specific patient-facing relevance filtering
juvenile rheumatoid arthritis,"Arthritis that affects children, causing pain, stiffness, and swelling in the joints.",README-based filtered glossary with task-specific patient-facing relevance filtering
juxtaposed,Putting two things next to each other.,README-based filtered glossary with task-specific patient-facing relevance filtering
k wire,K wire is a wire surgeons use to hold bones together during surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
k-ras,A gene that can change and cause cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
kangaroo session,Kangaroo session is when a preemie baby in just a diaper is held against a parent's skin for benefits.,README-based filtered glossary with task-specific patient-facing relevance filtering
kappa multiple myeloma,A type of cancer affecting white blood cells causing damage to bones and kidneys.,README-based filtered glossary with task-specific patient-facing relevance filtering
karnofsky performance status,A scale to measure how well someone can perform daily activities.,README-based filtered glossary with task-specific patient-facing relevance filtering
karyorrhexis,Karyorrhexis means when the nuclei in dying cells break apart.,README-based filtered glossary with task-specific patient-facing relevance filtering
karyotype,How many chromosomes and what they look like in cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
karyotyped,Karyotyped means looking at the chromosomes in cells to see how many there are and what they look like.,README-based filtered glossary with task-specific patient-facing relevance filtering
karyotypes,Karyotypes refer to how many chromosomes and what they look like in cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
karyotypic,Karyotypic is how the chromosomes look in cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
karyotyping,Examining the number and appearance of chromosomes in cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
kegel exercises,Exercises that strengthen muscles in the pelvic floor to help with bladder control.,README-based filtered glossary with task-specific patient-facing relevance filtering
keloid,"A keloid is a raised, thick scar that forms due to excessive tissue growth after an injury.",README-based filtered glossary with task-specific patient-facing relevance filtering
keratin,"Protein in hair, nails, and skin.",README-based filtered glossary with task-specific patient-facing relevance filtering
keratinocyte,The main cell in the top layer of skin.,README-based filtered glossary with task-specific patient-facing relevance filtering
keratitis,Keratitis is a condition where the cornea of the eye becomes inflamed.,README-based filtered glossary with task-specific patient-facing relevance filtering
keratoconus,Thinning of the central cornea leading to blurry vision.,README-based filtered glossary with task-specific patient-facing relevance filtering
keratopathy,Damage to the clear part of the eye that affects vision.,README-based filtered glossary with task-specific patient-facing relevance filtering
ketamine,"Ketamine is a drug that makes you numb and unaware, used for surgery and pain relief.",README-based filtered glossary with task-specific patient-facing relevance filtering
ketoconazole,Ketoconazole is medicine that helps treat infections from fungus.,README-based filtered glossary with task-specific patient-facing relevance filtering
ketogenic diet,A diet high in fats and low in carbs that makes your body burn fat for energy.,README-based filtered glossary with task-specific patient-facing relevance filtering
ki 67,A test to see how many cells are currently dividing.,README-based filtered glossary with task-specific patient-facing relevance filtering
ki-67,A test to check how many cells are currently dividing.,README-based filtered glossary with task-specific patient-facing relevance filtering
kidney,A kidney is like a waste management system in your body that helps make pee and keeps you healthy.,README-based filtered glossary with task-specific patient-facing relevance filtering
kidney cancer,A type of cancer that grows in the kidney tissues.,README-based filtered glossary with task-specific patient-facing relevance filtering
kidney failure,When your kidneys stop working properly.,README-based filtered glossary with task-specific patient-facing relevance filtering
kidney stone,Hard bits that form in the kidneys and hurt like crazy.,README-based filtered glossary with task-specific patient-facing relevance filtering
kidney stones,Hard mineral deposits in the kidneys causing pain and blockage.,README-based filtered glossary with task-specific patient-facing relevance filtering
kidneys,Kidneys are organs that clean the body by making pee.,README-based filtered glossary with task-specific patient-facing relevance filtering
kilocalories,A kilocalorie is a unit that measures how much energy is in your food.,README-based filtered glossary with task-specific patient-facing relevance filtering
kinase inhibitor,A kinase inhibitor is something that stops a specific kind of enzyme called a kinase.,README-based filtered glossary with task-specific patient-facing relevance filtering
klebsiella,"A type of germ that can lead to various illnesses like lung infections, urinary tract infections, and diarrhea.",README-based filtered glossary with task-specific patient-facing relevance filtering
klebsiella pneumoniae,A germ that can lead to various illnesses like lung and urinary infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
klinefelter syndrome,A condition in males where they have one or more extra X chromosomes causing genetic issues.,README-based filtered glossary with task-specific patient-facing relevance filtering
klippel trenaunay,"Problem with blood vessels, tissues, bones, and lymph system from birth.",README-based filtered glossary with task-specific patient-facing relevance filtering
kras,A gene that can change in different types of cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
kupffer,A Kupffer is a type of liver cell that helps keep it healthy.,README-based filtered glossary with task-specific patient-facing relevance filtering
kyphoplasty,A spine surgery that helps in treating a specific type of spinal bone fracture.,README-based filtered glossary with task-specific patient-facing relevance filtering
kyphos,Having a rounded upper back.,README-based filtered glossary with task-specific patient-facing relevance filtering
kyphosis,"When you have kyphosis, your upper back looks more rounded than usual.",README-based filtered glossary with task-specific patient-facing relevance filtering
kyphotic,Having a hunched or curved back.,README-based filtered glossary with task-specific patient-facing relevance filtering
lab,A lab is a place where tests and research are conducted.,README-based filtered glossary with task-specific patient-facing relevance filtering
labia,The folds around the vagina.,README-based filtered glossary with task-specific patient-facing relevance filtering
labia majora,Part of the female genitalia on the outside.,README-based filtered glossary with task-specific patient-facing relevance filtering
labium,Flaps on either side of the vagina.,README-based filtered glossary with task-specific patient-facing relevance filtering
laboratories,A laboratory is a place where experiments and research are conducted.,README-based filtered glossary with task-specific patient-facing relevance filtering
laboratory parameters,Lab parameters: Results from tests done in a lab.,README-based filtered glossary with task-specific patient-facing relevance filtering
laboratory studies,Tests done on samples like blood or urine to help diagnose medical issues or see if treatments are effective.,README-based filtered glossary with task-specific patient-facing relevance filtering
labored,Breathing that takes a lot of effort.,README-based filtered glossary with task-specific patient-facing relevance filtering
labyrinthine,A complex structure in the inner ear that helps us maintain balance.,README-based filtered glossary with task-specific patient-facing relevance filtering
labyrinthitis,Inflammation of the inner ear causing dizziness and potentially hearing loss.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacerated,Torn or deeply cut.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacerating,Lacerating means to make a deep cut in the skin or tissues.,README-based filtered glossary with task-specific patient-facing relevance filtering
laceration,A laceration is a cut on the skin or tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacrimal gland,A gland that produces tears to keep the eyes moist and protected.,README-based filtered glossary with task-specific patient-facing relevance filtering
lactase,A protein that helps your body digest milk sugar.,README-based filtered glossary with task-specific patient-facing relevance filtering
lactobacillus,"A type of bacteria that can be used to make yogurt and cheese, and is commonly found in the mouth and guts.",README-based filtered glossary with task-specific patient-facing relevance filtering
lactobacillus acidophilus,"A type of bacteria commonly found in dairy products and the human body, usually harmless.",README-based filtered glossary with task-specific patient-facing relevance filtering
lactose,A sugar in milk that some adults have trouble digesting.,README-based filtered glossary with task-specific patient-facing relevance filtering
lactose intolerance,Your body can't handle milk sugar.,README-based filtered glossary with task-specific patient-facing relevance filtering
lactulose,A medication that helps regulate your bowel movements.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar,"A lacunar is a tiny stroke that happens when blood is blocked in a small area of the brain, leading to damage.",README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar brain infarct,A lacunar brain infarct is a specific type of stroke that blocks blood flow in a small artery deep inside the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar cva,A lacunar CVA is a type of stroke that occurs when a small artery deep in the brain is blocked.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar cvas,A kind of stroke that impacts small brain arteries.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar infarct,A lacunar infarct is a minor stroke that occurs when a small blood vessel in the brain gets blocked.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar infarction,A small area of the brain damaged due to a blockage in blood flow.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar infarctions,A small area in the brain is damaged due to a blocked blood flow.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar infarcts,"A lacunar infarct is when blood flow is blocked in a small part of the brain, resulting in damage.",README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar stroke,A lacunar stroke is a specific kind of stroke that occurs when a small artery in the brain becomes blocked.,README-based filtered glossary with task-specific patient-facing relevance filtering
lacunar type infarction,A small area in the brain that gets injured due to a blockage in blood flow.,README-based filtered glossary with task-specific patient-facing relevance filtering
lamina,A lamina is a thin layer of tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
lamina propria,Tissue under the layer producing mucus.,README-based filtered glossary with task-specific patient-facing relevance filtering
laminectomies,A surgery to remove part or all of a bone in the spine.,README-based filtered glossary with task-specific patient-facing relevance filtering
laminectomy,Surgery to remove a piece of bone in the spine.,README-based filtered glossary with task-specific patient-facing relevance filtering
laminotomies,Laminotomies are spinal surgeries that involve removing part of the back bone.,README-based filtered glossary with task-specific patient-facing relevance filtering
lamotrigine,A medication used to manage certain kinds of seizures.,README-based filtered glossary with task-specific patient-facing relevance filtering
lancet,A lancet is a pointy surgical tool used to make small cuts.,README-based filtered glossary with task-specific patient-facing relevance filtering
landmarks,A notable structure or mark used as a guide to find other things in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
langherhans histiocytosis,A condition where too many immune cells called Langerhans cells accumulate in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
lanolin,Lanolin is a greasy material obtained from the wool of sheep.,README-based filtered glossary with task-specific patient-facing relevance filtering
lansoprazole,Medicine that lowers stomach acid production.,README-based filtered glossary with task-specific patient-facing relevance filtering
laparoscopic,A surgery where a small tube with a camera is used to see inside the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
laparoscopic colectomy,A surgery to remove part of the intestine using small incisions and specialized tools.,README-based filtered glossary with task-specific patient-facing relevance filtering
laparoscopic prostatectomy,A surgery to remove part or all of the prostate using a specialized scope.,README-based filtered glossary with task-specific patient-facing relevance filtering
laparoscopic surgery,A surgery using tiny cuts and tools with cameras attached.,README-based filtered glossary with task-specific patient-facing relevance filtering
laparoscopically,Using a small tube and camera to perform surgery inside the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
laparoscopy,A surgery that uses a tool inserted through the stomach to see inside.,README-based filtered glossary with task-specific patient-facing relevance filtering
laparotomies,Cutting open the belly for surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
laproscopic,A type of surgery that uses a small camera to see inside the body through a thin tube.,README-based filtered glossary with task-specific patient-facing relevance filtering
laproscopy,A procedure using a tool inserted through the abdomen to see inside the belly.,README-based filtered glossary with task-specific patient-facing relevance filtering
laryngeal,Dealing with the voice box.,README-based filtered glossary with task-specific patient-facing relevance filtering
laryngeal cancer,Cancer that develops in the tissues of the throat where the vocal cords are located.,README-based filtered glossary with task-specific patient-facing relevance filtering
laryngeal ventricle,A tiny space between vocal cords in the throat called the laryngeal ventricle.,README-based filtered glossary with task-specific patient-facing relevance filtering
laryngeal vestibule,A part of the voicebox that allows air to flow in and out.,README-based filtered glossary with task-specific patient-facing relevance filtering
laryngectomy,Surgery to take out the voice box.,README-based filtered glossary with task-specific patient-facing relevance filtering
laryngitis,"When your voice box gets swollen, you have laryngitis.",README-based filtered glossary with task-specific patient-facing relevance filtering
laryngoscopy,A medical way to check your vocal cords and throat tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
laryngotracheobronchitis,An infection in the upper airway that causes breathing difficulties and a cough that sounds like a bark.,README-based filtered glossary with task-specific patient-facing relevance filtering
larynx,"The voice box in your throat that helps you breathe, swallow, and talk.",README-based filtered glossary with task-specific patient-facing relevance filtering
laser,"A laser is a focused light beam used for cutting or destroying tissue, like cancer cells.",README-based filtered glossary with task-specific patient-facing relevance filtering
lassitude,"Feeling tired, weak, and uninterested in daily activities.",README-based filtered glossary with task-specific patient-facing relevance filtering
latanoprost,"A medication that helps reduce the pressure in the eye, commonly used for treating glaucoma.",README-based filtered glossary with task-specific patient-facing relevance filtering
latansoprost,A medicine that helps reduce eye pressure in treating glaucoma.,README-based filtered glossary with task-specific patient-facing relevance filtering
latent,Something that is dormant and not currently causing any issues.,README-based filtered glossary with task-specific patient-facing relevance filtering
latera,Having to do with the side of the body or a body part.,README-based filtered glossary with task-specific patient-facing relevance filtering
lateral,Lateral means on or related to the side of the body or a body part.,README-based filtered glossary with task-specific patient-facing relevance filtering
lateral orbital,The part of the eye socket next to the ear.,README-based filtered glossary with task-specific patient-facing relevance filtering
lateral position,The lateral position is when you're lying on your side.,README-based filtered glossary with task-specific patient-facing relevance filtering
lateral rectus muscle,A muscle in the eye that helps move it from side to side.,README-based filtered glossary with task-specific patient-facing relevance filtering
lateral ventricle,A space full of fluid in the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
lateral ventricles,A fluid-filled area in the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
laterality,Describes the differences between the left and right sides of the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
latex,Latex is a type of rubber material.,README-based filtered glossary with task-specific patient-facing relevance filtering
latissimus,"Big, triangular muscles that cover the lower back.",README-based filtered glossary with task-specific patient-facing relevance filtering
latissimus dorsi,The latissimus dorsi are big muscles on your lower back.,README-based filtered glossary with task-specific patient-facing relevance filtering
lavage,"Cleaning out an organ, body cavity, or wound using a liquid.",README-based filtered glossary with task-specific patient-facing relevance filtering
lavaged,To clean out an organ or wound with fluid.,README-based filtered glossary with task-specific patient-facing relevance filtering
lavaging,"To flush out an organ, body cavity, or wound using liquid.",README-based filtered glossary with task-specific patient-facing relevance filtering
laxative,A laxative is a medicine that helps you go poop.,README-based filtered glossary with task-specific patient-facing relevance filtering
laxatives,A medicine that helps you go to the bathroom.,README-based filtered glossary with task-specific patient-facing relevance filtering
lcis,An issue where unusual cells are discovered in the lobules of the breast.,README-based filtered glossary with task-specific patient-facing relevance filtering
ldl,Bad cholesterol that can cause heart problems.,README-based filtered glossary with task-specific patient-facing relevance filtering
leakage,Fluid leaking from blood vessels into surrounding tissues.,README-based filtered glossary with task-specific patient-facing relevance filtering
left anterior descending artery,One of the heart's arteries.,README-based filtered glossary with task-specific patient-facing relevance filtering
left atrium,It's one of the sections of the heart.,README-based filtered glossary with task-specific patient-facing relevance filtering
left axis deviation,When the electrical direction of the bottom heart chamber is off.,README-based filtered glossary with task-specific patient-facing relevance filtering
left bundle branch block,A delay or blockage of electrical signals in the heart's left side.,README-based filtered glossary with task-specific patient-facing relevance filtering
left circumflex artery,A heart artery on the left side.,README-based filtered glossary with task-specific patient-facing relevance filtering
left internal carotid artery,the left internal carotid artery supplies blood to the brain and eyes.,README-based filtered glossary with task-specific patient-facing relevance filtering
left lower,The lower part of the left lung.,README-based filtered glossary with task-specific patient-facing relevance filtering
left lower lobe,It's the bottom part of the left lung.,README-based filtered glossary with task-specific patient-facing relevance filtering
left quadrant,The left quadrant is the area on the left side of the belly.,README-based filtered glossary with task-specific patient-facing relevance filtering
